Date,AMZN,BKR,CVX,FORD,GOOG,GOVT,IBTA.L,IEF,IEI,MRVL,NKE,SAM,SHEL,SHY,TLT,TMUS
2020-01-02,94.90049743652344,21.962615966796875,96.15870666503906,10.100000381469727,68.04620361328125,23.16083335876465,5.251999855041504,99.02787017822266,114.4761962890625,26.706512451171875,96.0019760131836,371.1199951171875,48.650611877441406,76.31331634521484,119.3469467163086,76.85395812988281
2020-01-03,93.74849700927734,21.98834800720215,95.82610321044922,10.0,67.7122802734375,23.276683807373047,5.25600004196167,99.6896743774414,114.83967590332031,26.01397705078125,95.73897552490234,367.70001220703125,49.03336715698242,76.37645721435547,121.18488311767578,76.4432601928711
2020-01-06,95.14399719238281,21.885433197021484,95.5014419555664,10.300000190734863,69.38187408447266,23.24994659423828,5.252999782562256,99.58238220214844,114.77609252929688,25.048328399658203,95.65443420410156,371.57000732421875,49.64414596557617,76.34941864013672,120.49679565429688,76.88330841064453
2020-01-07,95.34300231933594,21.51667594909668,94.28191375732422,10.199999809265137,69.33858489990234,23.205398559570312,5.257999897003174,99.43931579589844,114.73060607910156,25.604305267333984,95.6074447631836,373.8800048828125,49.188106536865234,76.34941864013672,119.90444946289062,77.17667388916016
2020-01-08,94.59850311279297,21.242250442504883,93.2049560546875,10.300000190734863,69.88499450683594,23.16974639892578,5.254499912261963,99.20674133300781,114.57616424560547,25.409225463867188,95.39140319824219,373.3800048828125,48.60988998413086,76.31331634521484,119.11178588867188,77.66563415527344
2020-01-09,95.05249786376953,21.473798751831055,93.05451202392578,10.399999618530273,70.65682983398438,23.18756675720215,5.254000186920166,99.2783203125,114.57616424560547,25.457998275756836,95.32563781738281,369.4800109863281,48.601749420166016,76.3223648071289,119.52992248535156,78.0470199584961
2020-01-10,94.15799713134766,21.31943130493164,92.20719146728516,12.5,71.1495132446289,23.241039276123047,5.249000072479248,99.49295043945312,114.6852035522461,25.848163604736328,94.78082275390625,367.95001220703125,48.05612564086914,76.34040832519531,120.59259033203125,77.25491333007812
2020-01-13,94.56500244140625,20.933521270751953,92.38142395019531,10.899999618530273,71.62226867675781,23.214298248291016,5.25600004196167,99.37667083740234,114.62161254882812,26.843067169189453,95.96440887451172,364.010009765625,48.015403747558594,76.33135986328125,120.2268295288086,77.64608764648438
2020-01-14,93.47200012207031,20.59906768798828,92.09632873535156,11.199999809265137,71.20673370361328,23.258865356445312,5.255499839782715,99.57340240478516,114.73970794677734,26.833314895629883,96.67831420898438,361.7099914550781,47.98283004760742,76.34040832519531,120.84520721435547,78.03724670410156
2020-01-15,93.10099792480469,19.998760223388672,91.96171569824219,11.100000381469727,71.62076568603516,23.294509887695312,5.256999969482422,99.82383728027344,114.86695861816406,26.062747955322266,96.55619812011719,376.3999938964844,47.90138244628906,76.37645721435547,121.64659118652344,78.4968490600586
2020-01-16,93.89700317382812,20.161701202392578,92.56352996826172,11.0,72.2428207397461,23.258865356445312,5.25600004196167,99.61813354492188,114.7851791381836,27.555110931396484,97.10103607177734,385.79998779296875,47.86067199707031,76.37645721435547,121.26336669921875,79.64102172851562
2020-01-17,93.23600006103516,20.24745750427246,91.52617645263672,11.100000381469727,73.67056274414062,23.23212242126465,5.258999824523926,99.53765106201172,114.76699829101562,27.789207458496094,98.19068908691406,386.6000061035156,47.673370361328125,76.40348815917969,120.2268295288086,80.33533477783203
2020-01-20,,,,,,,5.257999897003174,,,,,,,,,
2020-01-21,94.5999984741211,19.492786407470703,89.72857666015625,11.399999618530273,73.8701171875,23.312332153320312,5.261000156402588,99.93115997314453,115.0304946899414,26.833314895629883,98.23764038085938,390.9200134277344,46.7938346862793,76.42150115966797,121.48982238769531,80.21798706054688
2020-01-22,94.37300109863281,19.449913024902344,89.40392303466797,11.199999809265137,73.94725799560547,23.330158233642578,5.261000156402588,99.94903564453125,115.04871368408203,27.0966739654541,98.15312194824219,398.19000244140625,46.777549743652344,76.43954467773438,121.91667938232422,80.6678237915039
2020-01-23,94.22899627685547,19.690027236938477,89.56228637695312,11.199999809265137,73.98208618164062,23.383625030517578,5.26800012588501,100.19942474365234,115.19410705566406,27.330772399902344,96.77224731445312,393.3299865722656,46.74497985839844,76.46652221679688,122.77033233642578,80.36466217041016
2020-01-24,93.08200073242188,19.604272842407227,88.57241821289062,11.100000381469727,72.98979187011719,23.445999145507812,5.26800012588501,100.55719757080078,115.39403533935547,26.638233184814453,95.84230041503906,381.6700134277344,46.55767059326172,76.49361419677734,123.7633285522461,79.77792358398438
2020-01-27,91.41699981689453,18.909635543823242,87.41627502441406,10.600000381469727,71.35702514648438,23.570755004882812,5.257999897003174,101.23686981201172,115.79386901855469,25.233652114868164,94.16085815429688,377.2799987792969,45.678157806396484,76.57472229003906,125.68840789794922,78.93692779541016
2020-01-28,92.6624984741211,18.781002044677734,87.99434661865234,11.100000381469727,72.28562927246094,23.508377075195312,5.26800012588501,100.8969955444336,115.63943481445312,25.682342529296875,94.32054901123047,382.0,45.539710998535156,76.53866577148438,124.70416259765625,79.85616302490234
2020-01-29,92.9000015258789,18.420814514160156,87.40044403076172,10.800000190734863,72.58769226074219,23.59749412536621,5.2729997634887695,101.37996673583984,115.92110443115234,24.472841262817383,93.78511810302734,373.25,45.38498306274414,76.61077880859375,125.92362213134766,78.4870834350586
2020-01-30,93.53399658203125,19.166912078857422,88.21607971191406,11.100000381469727,72.44884490966797,23.59749412536621,5.2779998779296875,101.47830963134766,116.02108001708984,24.189973831176758,92.23517608642578,362.42999267578125,43.8458137512207,76.61981201171875,125.94107818603516,79.15205383300781
